New table
"Категорія","Підкатегорія","Матеріали підкатегорії","Виріб","Складність","Матеріали для створення","Станки",,,,,,,,,,"Ваги слкадових"
"One-Handed Cut Weapon","One-Handed Sword Blade","4x Metal","Short Sword Blade","2","3x Metal","Верстак
Горн
Відро
Точильний камінь
Ковадло
Шліфувальний верстак",,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Arming Sword Blade","3","4x Metal"
,,,"Falchion Blade","2","3x Metal"
,,,"Estoc Blade","3","2x Metal"
,,,"Noble Short Sword Blde","4","4x Metal 2x Decoration","Відро
Точильний камінь
Верстак
Горн
Велике Ковадло
Ковадло
Шліфувальний верстак",,,,,,,,,,"3 - Metal (Слот 1) 1 - Decorations (Cлот 2)"
,"Saber Blade","4x Metal","Simple Saber Blade","2","3x Metal","Верстак
Горн
Точильний камінь
Ковадло
Відро
Шліфувальний верстак",,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Polish Saber Blade","3","3x Metal"
,,,"Tatar Saber Blade","3","3x Metal"
,,,"Magyar Saber Blade","4","4x Metal","Точильний камінь
Відро
Верстак
Горн
Велике Ковадло
Ковадло
Шліфувальний верстак"
,,,"Noble Saber Blade","4","4x Metal 2x Decoration",,,,,,,,,,,"3 - Metal (Слот 1) 1 - Decorations (Cлот 2)"
,"One-Handed Guard","1x Metal","Straight Guard","2","1x Metal","Верстак
Горн
Ковадло
Відро
Шліфувальний верстак",,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Curved Guard","3","1x Metal"
,,,"Simple Guard","2","1x Metal"
,,,"Closed Guard","3","1x Metal","Верстак
Горн
Ковадло
Бронярське Ковадло
Відро
Шліфувальний верстак"
,,,"Decorated Guard","4","1x Metal 1x Decoration","Верстак
Горн
Ковадло
Відро
Шліфувальний верстак",,,,,,,,,,"3 - Metal (Слот 1) 1 - Decorations (Cлот 2)"
,"One-Handed Pommel","1x Metal","Round Pommel","2","1x Metal",,,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Pentagon Pommel","3","1x Metal"
,,,"Long Pommel","3","1x Metal"
,,,"Simple Pommel","2","1x Metal"
,,,"Decorated Pommel","4","1x Metal 1x Decoration",,,,,,,,,,,"3 - Metal (Слот 1) 1 - Decorations (Cлот 2)"
,"One-Handed Handle","1x Wood 1x Leather","Simple Handle","2","1x Wood","Теслярний верстак
Верстак",,,,,,,,,,"3 - Wood (Слот 1)"
,,,"Two-Part Handle","3","2x Wood",,,,,,,,,,,"3 - Wood (Слот 1)"
,,,"Grip Handle","3","1x Wood 1x Leather",,,,,,,,,,,"3 - Wood (Слот 1) 1 - Leather (Cлот 2)"
,,,"Decorated Handle","4","1x Wood 1x Leather 1x Decoration",,,,,,,,,,,"3 - Wood (Слот 1) 1 - Leather (Cлот 2) 1 - Decorations (Слот 2)"
"Категорія","Підкатегорія","Матеріали підкатегорії","Виріб","Складність","Матеріали для створення","Станки",,,,,,,,,,"Ваги складових"
"Long Cut Weapon","Long Sword Blade","7x Metal","Bastard Sword Blade","2","6x Metal","Точильний камінь
Верстак
Горн
Велике Ковадло
Ковадло
Відро
Шліфувальний верстак",,,,,,,,,,"3 - Metal (Слот 1)"
